X;time;peak;backend
[2, 64, 1, 1];0.0008673502161400393;0.5756866090194022;mlir
[2, 64, 1, 1];0.000868623232236132;0.5748429079849501;tvm
[2, 64, 1, 4];0.0008690511313034222;0.5745598696972073;mlir
[2, 64, 1, 4];0.0008672186668263748;0.575773935527928;tvm
[2, 64, 2, 1];0.0008783689409028739;0.5684648915849104;mlir
[2, 64, 2, 1];0.0008715365402167663;0.5729213655662845;tvm
[2, 64, 2, 4];0.0008687698864378035;0.5747458706347;mlir
[2, 64, 2, 4];0.0008670429670019075;0.5758906118441605;tvm
[2, 64, 4, 1];0.000902494604815729;0.5532685758978649;mlir
[2, 64, 4, 1];0.0008928945171646774;0.5592171249381906;tvm
[2, 64, 4, 4];0.0008741387282498181;0.5712158592511242;mlir
[2, 64, 4, 4];0.00087277042621281;0.5721113935179946;tvm
[2, 64, 8, 1];0.0008586495387135074;0.5815200291262324;mlir
[2, 64, 8, 1];0.0008711335976840928;0.573186370138118;tvm
[2, 64, 8, 4];0.0008632669923827052;0.5784095872630612;mlir
[2, 64, 8, 4];0.0008681398467160761;0.5751629839946827;tvm
[2, 64, 16, 1];0.0008622978057246655;0.5790596954404635;mlir
[2, 64, 16, 1];0.0008666916255606338;0.5761240677027543;tvm
[2, 64, 16, 4];0.0008646941278129816;0.577454950486144;mlir
[2, 64, 16, 4];0.0008640197920612991;0.5779056328914277;tvm
[2, 64, 32, 1];0.000920684527955018;0.5423376733298382;mlir
[2, 64, 32, 1];0.0009197293547913432;0.542900911187275;tvm
[2, 64, 32, 4];0.0008633821998955682;0.5783324057668795;mlir
[2, 64, 32, 4];0.0008597767591709271;0.5807576204355596;tvm
[2, 64, 64, 1];0.0011145457392558455;0.4480048572033388;mlir
[2, 64, 64, 1];0.0009718496003188193;0.513785162434702;tvm
[2, 64, 64, 4];0.0008792286389507353;0.5679090541884437;mlir
[2, 64, 64, 4];0.0008686428627697751;0.5748299170613745;tvm
[2, 64, 128, 1];0.0009465210605412722;0.5275338559042367;mlir
[2, 64, 128, 1];0.0015749285521451384;0.31704416310301897;tvm
[2, 64, 128, 4];0.0009375407098559663;0.5325869047741033;mlir
[2, 64, 128, 4];0.0009313894261140376;0.5361043305432251;tvm
[2, 128, 1, 1];0.0008153889793902636;0.612372643465565;mlir
[2, 128, 1, 1];0.0008108140900731087;0.6158278585376857;tvm
[2, 128, 1, 4];0.0008168336644303054;0.6112895764526958;mlir
[2, 128, 1, 4];0.0008176362753147259;0.6106895203123234;tvm
[2, 128, 2, 1];0.0008017132349777967;0.6228185877157603;mlir
[2, 128, 2, 1];0.00080147672269959;0.6230023787591158;tvm
[2, 128, 2, 4];0.0008113126241369173;0.6154494456351995;mlir
[2, 128, 2, 4];0.0008118965342873707;0.6150068188185784;tvm
[2, 128, 4, 1];0.0007982459646882489;0.625523869647011;mlir
[2, 128, 4, 1];0.000827541618491523;0.6033798102772032;tvm
[2, 128, 4, 4];0.0008016902138479054;0.6228364724140625;mlir
[2, 128, 4, 4];0.0008074122742982581;0.6184224845923698;tvm
[2, 128, 8, 1];0.0007891618879511952;0.6327243020544661;mlir
[2, 128, 8, 1];0.000801082729594782;0.6233087873639227;tvm
[2, 128, 8, 4];0.0008088779432000592;0.6173019167595324;mlir
[2, 128, 8, 4];0.0007982502720551565;0.625520494313597;tvm
[2, 128, 16, 1];0.000786868724389933;0.6345682440854844;mlir
[2, 128, 16, 1];0.0008041608234634623;0.620922942517097;tvm
[2, 128, 16, 4];0.0007947773265186697;0.6282538367684241;mlir
[2, 128, 16, 4];0.0007934426248539239;0.6293106635830562;tvm
[2, 128, 32, 1];0.0007906652026576921;0.6315212849680442;mlir
[2, 128, 32, 1];0.0009350598847959191;0.5339999211610751;tvm
[2, 128, 32, 4];0.0007949266582727432;0.6281358155063721;mlir
[2, 128, 32, 4];0.000794994382886216;0.6280823053731821;tvm
[2, 128, 64, 1];0.0008187078346963972;0.6098902240835025;mlir
[2, 128, 64, 1];0.0010848452511709183;0.46027016684911143;tvm
[2, 128, 64, 4];0.0008051059412537143;0.6201940380471651;mlir
[2, 128, 64, 4];0.0008050156902754679;0.6202635685163379;tvm
[2, 256, 1, 1];0.001821223384467885;0.2741684018667451;mlir
[2, 256, 1, 1];0.0012854223314207047;0.3884496889127735;tvm
[2, 256, 1, 4];0.0012781330442521721;0.39066504618386966;mlir
[2, 256, 1, 4];0.0012852645304519683;0.388497381613975;tvm
[2, 256, 2, 1];0.001515666241175495;0.32944053987416716;mlir
[2, 256, 2, 1];0.0013886826345697045;0.35956516797419596;tvm
[2, 256, 2, 4];0.001576457725604996;0.3167366283610811;mlir
[2, 256, 2, 4];0.001494121752330102;0.3341909077912867;tvm
[2, 256, 4, 1];0.001481301267631352;0.33708328999160075;mlir
[2, 256, 4, 1];0.0015725001867394894;0.31753376500210595;tvm
[2, 256, 4, 4];0.0014796389441471547;0.33746199147908185;mlir
[2, 256, 4, 4];0.001405155548127368;0.3553499151231651;tvm
[2, 256, 8, 1];0.0015258171188179404;0.32724885479639426;mlir
[2, 256, 8, 1];0.0014644953334936872;0.3409515164317573;tvm
[2, 256, 8, 4];0.0015389998443424702;0.3244457149215876;mlir
[2, 256, 8, 4];0.0014274093409767374;0.3498098901470214;tvm
[2, 256, 16, 1];0.00153803413559217;0.324649429558764;mlir
[2, 256, 16, 1];0.0015765205316711217;0.31672401007846085;tvm
[2, 256, 16, 4];0.001486462788307108;0.3359128184638708;mlir
[2, 256, 16, 4];0.0014159559359541163;0.3526394374874708;tvm
[2, 256, 32, 1];0.0016793255927041173;0.29733477946815345;mlir
[2, 256, 32, 1];0.0016282243595924228;0.3066665240697511;tvm
[2, 256, 32, 4];0.0015168604004429653;0.3291811854380857;mlir
[2, 256, 32, 4];0.0014450352609856054;0.34554305922011597;tvm
