X;time;peak
[4, 64, 2, 4];0.0033042572322301567;0.15111471948716756
[4, 64, 4, 1];0.0033031277707777917;0.15116639119422523
[4, 64, 4, 4];0.003307820181362331;0.15095194943645887
[4, 64, 8, 1];0.0032480628578923643;0.15372913844589503
[4, 64, 8, 4];0.0035686975461430848;0.13991712615196356
[4, 64, 16, 1];0.0035520983510650694;0.1405709683157244
[4, 64, 16, 4];0.003587579063605517;0.13918073885181118
[4, 64, 32, 1];0.0037117954925633967;0.13452301069988878
[4, 64, 32, 4];0.003588430699892342;0.13914770731865747
[4, 64, 64, 1];0.0040849505458027124;0.12223450422795402
[4, 64, 64, 4];0.003650901431683451;0.1367667448999478
[4, 128, 1, 1];0.003933163359761238;0.12695173301731766
[4, 128, 1, 4];0.003940170689020306;0.12672595787622018
[4, 128, 2, 1];0.003511129878461361;0.1422111747631268
[4, 128, 2, 4];0.004343873762991279;0.11494853027636365
[4, 128, 4, 1];0.0033800117671489716;0.14772785988939946
[4, 128, 4, 4];0.003784060711041093;0.1319539888207894
[4, 128, 8, 1];0.0033066924079321325;0.15100343278501668
[4, 128, 8, 4];0.003614649991504848;0.13813838295143688
[4, 128, 16, 1];0.0033639325411058962;0.14843398274501432
[4, 128, 16, 4];0.0035500561934895813;0.14065183128019412
[4, 128, 32, 1];0.0034578064805828035;0.14440423649091708
[4, 128, 32, 4];0.0038179621333256364;0.1307823093381417
[4, 256, 1, 1];0.00528456101892516;0.09448692199290057
[4, 256, 1, 4];0.005507424881216139;0.09066340722411188
[4, 256, 2, 1];0.004174952511675656;0.11959942139832802
[4, 256, 2, 4];0.004946280270814896;0.1009489712315962
[4, 256, 4, 1];0.003671131271403283;0.13601308911273008
[4, 256, 4, 4];0.0047146829892881215;0.10590784277466306
[4, 256, 8, 1];0.003466775582637638;0.14403063967065446
[4, 256, 8, 4];0.00480525306193158;0.10391167714301211
[4, 256, 16, 1];0.003608072642236948;0.13839020282372505
[4, 256, 16, 4];0.005232494557276368;0.09542712358248742
[8, 16, 1, 1];0.003984717361163348;0.12530924015552425
[8, 16, 1, 4];0.003984630689956248;0.12531196580413514
[8, 16, 2, 1];0.003973954590037465;0.12564861863637886
[8, 16, 2, 4];0.004033608245663345;0.12379038179990359
[8, 16, 4, 1];0.004480581555981189;0.1114413159370692
[8, 16, 4, 4];0.0041122520342469215;0.12142298200682775
[8, 16, 8, 1];0.004692706454079598;0.1064038225378065
[8, 16, 8, 4];0.004233497777022421;0.1179454746550255
[8, 16, 16, 1];0.004633450647816062;0.1077645890104076
[8, 16, 16, 4];0.004409281944390386;0.1132433604970887
[8, 16, 32, 1];0.004842708352953196;0.1031079859387788
[8, 16, 32, 4];0.004412336158566177;0.11316497356904995
[8, 16, 64, 1];0.0051940365810878575;0.09613369042875032
[8, 16, 64, 4];0.004362885549198836;0.11444762855482103
[8, 16, 128, 1];0.0052179986378178;0.09569222597013255
[8, 16, 128, 4];0.004270166449714452;0.11693265605496354
[8, 32, 1, 1];0.003628584439866245;0.1376079055170921
[8, 32, 1, 4];0.003644734970293939;0.13699813809003392
[8, 32, 2, 1];0.0037189985159784555;0.13426246410602155
[8, 32, 2, 4];0.0036256274324841797;0.1377201364619484
[8, 32, 4, 1];0.0039676938322372735;0.12584688382579934
[8, 32, 4, 4];0.0036337958299554884;0.13741055582861988
[8, 32, 8, 1];0.0037771625793538988;0.13219497288552406
[8, 32, 8, 4];0.003639328060671687;0.13720167471512534
